Internal ID,Item Name,Display Name,UPC Code,Bin Number,Bin OnHand,Bin Available,Bin Location,Item Status,Average Cost,Average Cost Per Bin,Subsidiary
35372,NCU1002WF,WF HOLIDAY 9.5 OZ. GREEN ENAMEL SPECKLED VESSEL BALSAM & FIR,647658027470,B50-A-017,84,84,MC-PW,CUSTOM ORDER ITEM WHOLE FOODS,5.10157489,428.532,PW
35382,NCU1003WF,WF HOLIDAY 9.5 OZ. WHITE ENAMEL SPECKLED VESSEL PALO SANTO FRANKINCENSE,647658027487,B50-A-001,8,0,MC-PW,CUSTOM ORDER ITEM WHOLE FOODS,5.01682471,.00,PW
35382,NCU1003WF,WF HOLIDAY 9.5 OZ. WHITE ENAMEL SPECKLED VESSEL PALO SANTO FRANKINCENSE,647658027487,B50-A-009,20,20,MC-PW,CUSTOM ORDER ITEM WHOLE FOODS,5.01682471,100.336,PW
35383,NCU1004WF,WF HOLIDAY 9.5 OZ. LIGHT BLUE ENAMEL SPECKLED VESSEL CHESTNUT & SANTAL,647658027494,B50-A-001,8,0,MC-PW,CUSTOM ORDER ITEM WHOLE FOODS,5.1297351,.00,PW
35412,NCU1501WF,WF HOLIDAY 15 OZ. SILVER MERCURY GLASS WITH DUST COVER JUNIPER CITRUS,647658027586,B50-A-001,148,140,MC-PW,CUSTOM ORDER ITEM WHOLE FOODS,6.41888514,898.644,PW
35412,NCU1501WF,WF HOLIDAY 15 OZ. SILVER MERCURY GLASS WITH DUST COVER JUNIPER CITRUS,647658027586,B50-A-037,148,148,MC-PW,CUSTOM ORDER ITEM WHOLE FOODS,6.41888514,949.995,PW
35413,NCU1502WF,WF HOLIDAY 15 OZ. GOLD MERCURY GLASS WITH DUST COVER TONKA BEAN & CINNAMON,647658027593,B50-A-001,152,152,MC-PW,CUSTOM ORDER ITEM WHOLE FOODS,6.28625,955.51,PW
35413,NCU1502WF,WF HOLIDAY 15 OZ. GOLD MERCURY GLASS WITH DUST COVER TONKA BEAN & CINNAMON,647658027593,B50-A-035,132,132,MC-PW,CUSTOM ORDER ITEM WHOLE FOODS,6.28625,829.785,PW
35413,NCU1502WF,WF HOLIDAY 15 OZ. GOLD MERCURY GLASS WITH DUST COVER TONKA BEAN & CINNAMON,647658027593,B50-A-037,4,4,MC-PW,CUSTOM ORDER ITEM WHOLE FOODS,6.28625,25.145,PW
35403,NCUFD01WF,WF HOLIDAY WHITE PETITE REED DIFFUSER IN FOIL PATTERNED PAPER TUBE- WHITE w/ 4 GREEN REEDS TONKA BEAN + CINNAMON,647658027548,B50-A-001,8,0,MC-PW,CUSTOM ORDER ITEM WHOLE FOODS,3.29625,.00,PW
35403,NCUFD01WF,WF HOLIDAY WHITE PETITE REED DIFFUSER IN FOIL PATTERNED PAPER TUBE- WHITE w/ 4 GREEN REEDS TONKA BEAN + CINNAMON,647658027548,B50-A-030,496,496,MC-PW,CUSTOM ORDER ITEM WHOLE FOODS,3.29625,1634.94,PW
35404,NCUFD02WF,WF HOLIDAY WHITE PETITE REED DIFFUSER IN FOIL PATTERNED PAPER TUBE- GREEN w/ 4 GREEN REEDS BALSAM & FIR,647658027555,B50-A-001,304,304,MC-PW,CUSTOM ORDER ITEM WHOLE FOODS,3.4520509,1049.423,PW
35404,NCUFD02WF,WF HOLIDAY WHITE PETITE REED DIFFUSER IN FOIL PATTERNED PAPER TUBE- GREEN w/ 4 GREEN REEDS BALSAM & FIR,647658027555,B50-A-022,364,352,MC-PW,CUSTOM ORDER ITEM WHOLE FOODS,3.4520509,1215.122,PW
35405,NCUFD03WF,WF HOLIDAY WHITE PETITE REED DIFFUSER IN FOIL PATTERNED PAPER TUBE- RED w/ 4 GREEN REEDS CEDAR + POMEGRANATE,647658027562,B50-A-001,163,151,MC-PW,CUSTOM ORDER ITEM WHOLE FOODS,3.401,513.551,PW
35405,NCUFD03WF,WF HOLIDAY WHITE PETITE REED DIFFUSER IN FOIL PATTERNED PAPER TUBE- RED w/ 4 GREEN REEDS CEDAR + POMEGRANATE,647658027562,B50-A-026,137,137,MC-PW,CUSTOM ORDER ITEM WHOLE FOODS,3.401,465.937,PW
35406,NCUFD04WF,WF HOLIDAY WHITE PETITE REED DIFFUSER IN FOIL PATTERNED PAPER TUBE- BLUE w/ 4 GREEN REEDS JUNIPER CITRUS,647658027579,B50-A-001,44,36,MC-PW,CUSTOM ORDER ITEM WHOLE FOODS,3.58373874,129.015,PW
35406,NCUFD04WF,WF HOLIDAY WHITE PETITE REED DIFFUSER IN FOIL PATTERNED PAPER TUBE- BLUE w/ 4 GREEN REEDS JUNIPER CITRUS,647658027579,B50-A-018,400,400,MC-PW,CUSTOM ORDER ITEM WHOLE FOODS,3.58373874,1433.495,PW
34358,NFG0901,FOUNDRY: 9 OZ LIGHT PINK ROUND MERCURY GLASS WITH GOLD LID HOLIDAY SPRITZER (CRANBERRY & FIG),647658025612,B50-A-037,1288,1280,MC-PW,CUSTOM ITEM MEIJER,3.29521546,4217.876,PW
34359,NFG0902,FOUNDRY: 9 OZ LIGHT BLUE ROUND MERCURY GLASS WITH GOLD LID COZY CABIN (VANILLA & SPICE),647658025629,B50-A-019,1096,1072,MC-PW,CUSTOM ITEM MEIJER,3.18989912,3419.572,PW
34360,NFG0903,FOUNDRY: 9 OZ HOLIDAY GREEN ROUND MERCURY GLASS WITH GOLD LID MISTLETOE (BALSAM & PINE),647658025636,B50-A-017,1708,1688,MC-PW,CUSTOM ITEM MEIJER,3.23264283,5456.701,PW
34361,NFG0904,FOUNDRY: 9 OZ CHAMPAGNE GOLD ROUND MERCURY GLASS WITH GOLD LID CINNAMON CIDER (CINNAMON STICK),647658025643,B50-A-015,1660,1640,MC-PW,CUSTOM ITEM MEIJER,3.22770476,5293.436,PW
34362,NFG0905,FOUNDRY: 9 OZ RED ROUND MERCURY GLASS WITH GOLD LID HOT APPLE TODDY (APPLEWOOD & AMBER),647658025650,B50-A-013,836,824,MC-PW,CUSTOM ITEM MEIJER,3.24501916,2673.896,PW
34363,NFG0906,FOUNDRY: 9 OZ SILVER ROUND MERCURY GLASS WITH GOLD LID FIRESIDE (WHISKEY & OAK),647658025667,B50-A-005,712,712,MC-PW,CUSTOM ITEM MEIJER,3.22817767,2298.463,PW
34363,NFG0906,FOUNDRY: 9 OZ SILVER ROUND MERCURY GLASS WITH GOLD LID FIRESIDE (WHISKEY & OAK),647658025667,B50-A-011,704,684,MC-PW,CUSTOM ITEM MEIJER,3.22817767,2208.074,PW
36415,NT0501,FOUNDRY: 5 OZ GOLD GRAB TIN DARK BALSAM,647658030050,B50-A-035,604,580,MC-PW,CUSTOM ITEM BBB 2020,2.48457565,1441.054,PW
36416,NT0502,FOUNDRY: 5 OZ GOLD GRAB TIN SWEET VANILLA,647658030067,B50-A-033,1672,1656,MC-PW,CUSTOM ITEM BBB 2020,2.46109741,4075.577,PW
36417,NT0503,FOUNDRY: 5 OZ GOLD GRAB TIN AMBERED TOBACCO,647658030074,B50-A-031,3176,3160,MC-PW,CUSTOM ITEM BBB 2020,2.43593665,7697.56,PW
36418,NT0504,FOUNDRY: 5 OZ GOLD GRAB TIN HONEYED CITRUS,647658030081,B50-A-029,1852,1840,MC-PW,CUSTOM ITEM BBB 2020,2.43541704,4481.167,PW
36419,NT0505,FOUNDRY: 5 OZ GOLD GRAB TIN BLUE SPRUCE,647658030098,B50-A-027,2720,2704,MC-PW,CUSTOM ITEM BBB 2020,2.45105349,6627.649,PW
36420,NT0506,FOUNDRY: 5 OZ GOLD GRAB TIN CYPRESS LAVENDER,647658030104,B50-A-025,2900,2880,MC-PW,CUSTOM ITEM BBB 2020,2.34308203,6748.076,PW
36421,NT0507,FOUNDRY: 5 OZ GOLD GRAB TIN FRESH COCONUT,647658030111,B50-A-023,1796,1780,MC-PW,CUSTOM ITEM BBB 2020,2.44546743,4352.932,PW
36422,NT0508,FOUNDRY: 5 OZ GOLD GRAB TIN CREAMY ROSEWOOD,647658030128,B50-A-021,1864,1848,MC-PW,CUSTOM ITEM BBB 2020,2.39988215,4434.982,PW
21658,RBFD : 20084,APOTHECARY 12 OZ. DIFFUSER BLACK MATTE SOFT TOUCH BOX WITH I,,B10-A-001,2042,2042,MC-PW,PADDYWAX FALL 2018,4.59891991,9390.994,PW
7465,RJ802Z,RELISH JAR 9.5 OZ. COBALT GARDENIA & TUBEROSE,647658111551,B70-B-174,34,34,MC-PW,WEB/AMAZON ,4.49484421,152.825,PW
