Internal ID,Item Name,Display Name,UPC Code,Bin Number,Bin OnHand,Bin Available,Bin Location,Item Status,Average Cost,Average Cost Per Bin,Subsidiary,Item Type
17031,MS1008,MESA 10 OZ. BLACK SPECKLED SNOW CERAMIC BLACK SALT & BIRCH,647658118253,PRODUCTION,76,76,Fidelitone PADDYWAX,INACTIVE 12/2019,3.82,290.32,PW,Assembly/Bill of Materials
27754,MS1008Z,MESA 10 OZ. BLACK SPECKLED SNOW CERAMIC BLACK SALT & BIRCH,647658118253,A40-B-104,1,1,MC-PW,WEB/AMAZON DISCONTINUED,5.88,5.88,PW,Assembly/Bill of Materials
27754,MS1008Z,MESA 10 OZ. BLACK SPECKLED SNOW CERAMIC BLACK SALT & BIRCH,647658118253,TCB-E-195,30,30,MC-PW,WEB/AMAZON DISCONTINUED,5.88,176.40,PW,Assembly/Bill of Materials
17033,MS1009,MESA 10 OZ. WHITE SPECKLED MIDNIGHT CERAMIC LEATHER & CADE,647658118260,PRODUCTION,12,12,Fidelitone PADDYWAX,DISCONTINUED 12/2019,4.21416667,50.57,PW,Assembly/Bill of Materials
18437,MS1013,MESA 10 OZ. BLACK SPECKLED STONE CERAMIC PATCHOULI & TONKA B,647658119557,PRODUCTION,4,4,Fidelitone PADDYWAX,DISCONTINUED 12/2019,3.935,15.74,PW,Assembly/Bill of Materials
27756,MS1013Z,MESA 10 OZ. BLACK SPECKLED STONE CERAMIC PATCHOULI & TONKA B,647658119557,PSA-B-045,6,6,MC-PW,WEB/AMAZON DISCONTINUED,5.80259259,34.816,PW,Assembly/Bill of Materials
27756,MS1013Z,MESA 10 OZ. BLACK SPECKLED STONE CERAMIC PATCHOULI & TONKA B,647658119557,S4B-B-077,23,23,B2C Warehouse PW,WEB/AMAZON DISCONTINUED,5.80259259,133.46,PW,Assembly/Bill of Materials
27756,MS1013Z,MESA 10 OZ. BLACK SPECKLED STONE CERAMIC PATCHOULI & TONKA B,647658119557,S5B-D-048,1,1,B2C Warehouse PW,WEB/AMAZON DISCONTINUED,5.80259259,5.803,PW,Assembly/Bill of Materials
27756,MS1013Z,MESA 10 OZ. BLACK SPECKLED STONE CERAMIC PATCHOULI & TONKA B,647658119557,WALL-008-001,24,24,B2C Warehouse PW,WEB/AMAZON DISCONTINUED,5.80259259,139.262,PW,Assembly/Bill of Materials
18438,MS1014,MESA 10 OZ. BLACK SPECKLED SAGE CERAMIC CACTUS FLOWER & MATC,647658119564,PRODUCTION,44,44,Fidelitone PADDYWAX,DISCONTINUED 12/2019,3.87,170.28,PW,Assembly/Bill of Materials
22306,MTSM-1001,GOLD - SLIM FLASK BOTTLE IN TUBE,812442028609,PRODUCTION-INK,340,340,INK Fidelitone,Current,3.57280374,1214.753,INK,Inventory Item
22306,MTSM-1001,GOLD - SLIM FLASK BOTTLE IN TUBE,812442028609,S1B-C-052,34,34,B2C Warehouse INK,Current,3.57280374,121.475,INK,Inventory Item
22306,MTSM-1001,GOLD - SLIM FLASK BOTTLE IN TUBE,812442028609,S2B-B-030,54,54,B2C Warehouse INK,Current,3.57280374,192.931,INK,Inventory Item
22307,MTSM-1002,SLIM FLASK BOTTLE IN TUBE - COPPER,812442028616,PRODUCTION-INK,1797,1797,INK Fidelitone,Current,3.45970348,6217.087,INK,Inventory Item
22307,MTSM-1002,SLIM FLASK BOTTLE IN TUBE - COPPER,812442028616,S1B-B-052,69,69,B2C Warehouse INK,Current,3.45970348,238.72,INK,Inventory Item
22307,MTSM-1002,SLIM FLASK BOTTLE IN TUBE - COPPER,812442028616,S6B-C-039,90,90,B2C Warehouse INK,Current,3.45970348,311.373,INK,Inventory Item
22308,MTSM-1003,SLIM FLASK BOTTLE IN TUBE - ICE WHITE,812442028623,PRODUCTION-INK,1360,1360,INK Fidelitone,Current,3.56997877,4855.171,INK,Inventory Item
22308,MTSM-1003,SLIM FLASK BOTTLE IN TUBE - ICE WHITE,812442028623,S1B-C-054,53,53,B2C Warehouse INK,Current,3.56997877,189.209,INK,Inventory Item
25493,MTSM-1004,MARBLE WHITE - BLACK BOTTLE,812442031302,PRODUCTION-INK,152,152,INK Fidelitone,SPRING 2019,3.75786561,571.196,INK,Inventory Item
25493,MTSM-1004,MARBLE WHITE - BLACK BOTTLE,812442031302,S3B-C-047,29,29,B2C Warehouse INK,SPRING 2019,3.75786561,108.978,INK,Inventory Item
25493,MTSM-1004,MARBLE WHITE - BLACK BOTTLE,812442031302,S3B-D-047,72,72,B2C Warehouse INK,SPRING 2019,3.75786561,270.566,INK,Inventory Item
25515,MTSM-1005,TEAL MARBLED PAPER - BLUE BOTTLE,812442031319,PRODUCTION-INK,1186,1186,INK Fidelitone,SPRING 2019,3.75143082,4449.197,INK,Inventory Item
25515,MTSM-1005,TEAL MARBLED PAPER - BLUE BOTTLE,812442031319,S6B-C-033,86,86,B2C Warehouse INK,SPRING 2019,3.75143082,322.623,INK,Inventory Item
25516,MTSM-1006,TERRAZZO - GREEN BOTTLE,812442031326,PRODUCTION-INK,984,984,INK Fidelitone,SPRING 2019,3.77604263,3715.626,INK,Inventory Item
25516,MTSM-1006,TERRAZZO - GREEN BOTTLE,812442031326,S2B-A-017,95,95,B2C Warehouse INK,SPRING 2019,3.77604263,358.724,INK,Inventory Item
25494,MTSM-1007,PINK CONFETTI - PINK BOTTLE,812442031333,PRODUCTION-INK,2153,2153,INK Fidelitone,SPRING 2019,3.61854456,7790.726,INK,Inventory Item
25494,MTSM-1007,PINK CONFETTI - PINK BOTTLE,812442031333,S6B-B-039,80,80,B2C Warehouse INK,SPRING 2019,3.61854456,289.484,INK,Inventory Item
6074,MX05,MIXOLOGY 5.5 OZ. GLASS SAZERAC,647658390819,A40-D-075,4,4,MC-PW,INACTIVE,2.4525,9.81,PW,Assembly/Bill of Materials
24873,MY0701,MAKES YOU WANNA SAY 7 OZ PEACH FROSTED GLASS WITH DECAL IN,647658016863,PRODUCTION,541,541,Fidelitone PADDYWAX,DISCONTINUED 12/2019,4.00521257,2166.82,PW,Assembly/Bill of Materials
26382,MY0701T,MAKES YOU WANNA SAY 7 OZ PEACH FROSTED GLASS WITH DECAL IN,647658019543,PRODUCTION,54,54,Fidelitone PADDYWAX,DISCONTINUED 12/2019,4.64277778,250.71,PW,Assembly/Bill of Materials
24875,MY0702,MAKES YOU WANNA SAY 7 OZ LILAC FROSTED GLASS WITH DECAL IN,647658016870,PRODUCTION,406,406,Fidelitone PADDYWAX,DISCONTINUED 12/2019,4.24820197,1724.77,PW,Assembly/Bill of Materials
26383,MY0702T,MAKES YOU WANNA SAY 7 OZ LILAC FROSTED GLASS WITH DECAL IN,647658019550,PRODUCTION,74,74,Fidelitone PADDYWAX,DISCONTINUED 12/2019,4.32364865,319.95,PW,Assembly/Bill of Materials
24876,MY0703,MAKES YOU WANNA SAY 7 OZ GREEN FROSTED GLASS WITH DECAL IN,647658016887,PRODUCTION,659,659,Fidelitone PADDYWAX,DISCONTINUED 12/2019,3.97407576,2618.916,PW,Assembly/Bill of Materials
24876,MY0703,MAKES YOU WANNA SAY 7 OZ GREEN FROSTED GLASS WITH DECAL IN,647658016887,WALL-013-003,1,1,B2C Warehouse PW,DISCONTINUED 12/2019,3.97407576,3.974,PW,Assembly/Bill of Materials
24877,MY0704,MAKES YOU WANNA SAY 7 OZ LIGHT BLUE FROSTED GLASS WITH DECA,647658016894,PRODUCTION,516,516,Fidelitone PADDYWAX,DISCONTINUED 12/2019,3.97633721,2051.79,PW,Assembly/Bill of Materials
26387,MY0704T,MAKES YOU WANNA SAY 7 OZ LIGHT BLUE FROSTED GLASS WITH DECA,647658019574,PRODUCTION,70,70,Fidelitone PADDYWAX,DISCONTINUED 12/2019,4.03085714,282.16,PW,Assembly/Bill of Materials
34083,MY0704Z,,647658016894,WALL-013-003,1,1,B2C Warehouse PW,PADDYWAX SPRING 2019,4.01,4.01,PW,Assembly/Bill of Materials
24878,MY0705,MAKES YOU WANNA SAY 7 OZ WHITE FROSTED GLASS WITH DECAL IN,647658016900,PRODUCTION,548,548,Fidelitone PADDYWAX,DISCONTINUED 12/2019,3.8310219,2099.40,PW,Assembly/Bill of Materials
26388,MY0705T,MAKES YOU WANNA SAY 7 OZ WHITE FROSTED GLASS WITH DECAL IN,647658019581,PRODUCTION,29,29,Fidelitone PADDYWAX,DISCONTINUED 12/2019,2.82551724,81.94,PW,Assembly/Bill of Materials
25570,MY07SP_OLD,MAKES YOU WANNA SAY 7 OZ STARTER PACK (4 EACH OF ALL 5 FRAG,647658016917,PRODUCTION,8,8,Fidelitone PADDYWAX,INACTIVE,103.615,828.92,PW,Assembly/Bill of Materials
36235,NAC2601,ANTHROPOLOGIE CHRISTMAS 26.5 OZ. DUSTY PINK GINGERBREAD HOUSE WASSAIL & SPICE,647658029993,PRODUCTION,1194,1194,Fidelitone PADDYWAX,Custom Order Item,12.56803183,15006.23,PW,Assembly/Bill of Materials
30971,NAK0501UB,AKEMI 5 OZ. WHITE DRIPPY REACTIVE GLAZE CERAMIC WITH WOODEN,647658024004,A30-B-231,520,520,MC-PW,CUSTOM ITEM URBAN OUTFITTERS,3.54878846,1845.37,PW,Assembly/Bill of Materials
31288,NAK0501ZUB,AKEMI 5 OZ. WHITE DRIPPY REACTIVE GLAZE CERAMIC WITH WOODEN,647658024004,A70-A-107,5,5,MC-PW,CUSTOM ITEM URBAN OUTFITTERS,3.474,17.37,PW,Assembly/Bill of Materials
30972,NAK0502UB,AKEMI 5 OZ. BLACK DRIPPY REACTIVE GLAZE CERAMIC WITH WOODEN,647658024011,A40-A-075,140,140,MC-PW,CUSTOM ITEM URBAN OUTFITTERS,2.94466667,412.253,PW,Assembly/Bill of Materials
30972,NAK0502UB,AKEMI 5 OZ. BLACK DRIPPY REACTIVE GLAZE CERAMIC WITH WOODEN,647658024011,A70-C-197,10,10,MC-PW,CUSTOM ITEM URBAN OUTFITTERS,2.94466667,29.447,PW,Assembly/Bill of Materials
31294,NAK0502ZUB,AKEMI 5 OZ. BLACK DRIPPY REACTIVE GLAZE CERAMIC WITH WOODEN,647658024011,A60-D-177,4,4,MC-PW,CUSTOM ITEM URBAN OUTFITTERS,3.675,14.70,PW,Assembly/Bill of Materials
31257,NAK1101ZUB,AKEMI 11 OZ. SANDY WHITE CERAMIC WITH WOODEN WICK TEA,647658023984,A40-B-076,24,24,MC-PW,CUSTOM ITEM URBAN OUTFITTERS,5.21083333,125.06,PW,Assembly/Bill of Materials
30970,NAK1102UB,AKEMI 11 OZ. BLACK CERAMIC WITH WOODEN WICK CHARCOAL,647658023991,A50-C-171,400,400,MC-PW,CUSTOM ITEM URBAN OUTFITTERS,4.130775,1652.31,PW,Assembly/Bill of Materials
31261,NAK1102ZUB,AKEMI 11 OZ. BLACK CERAMIC WITH WOODEN WICK CHARCOAL,647658023991,A70-A-060,63,63,MC-PW,CUSTOM ITEM URBAN OUTFITTERS,5.35923077,337.632,PW,Assembly/Bill of Materials
31261,NAK1102ZUB,AKEMI 11 OZ. BLACK CERAMIC WITH WOODEN WICK CHARCOAL,647658023991,A70-B-186,54,54,MC-PW,CUSTOM ITEM URBAN OUTFITTERS,5.35923077,289.398,PW,Assembly/Bill of Materials
27631,NAM1201,VHN BY PW: THROWBACK 12 OZ. AMBER 3-WICK WITH COPPER LID PU,647658019710,A50-C-111,188,188,MC-PW,CUSTOM ITEM HEB FA19,3.6468617,685.61,PW,Assembly/Bill of Materials
36557,NBH0801,FOUNDRY: 8 OZ OPAQUE WHITE IRIDESCENT GLASS WITH GOLD LID SWEET CHAMPAGNE (NBH0801),647658030135,B50-A-009,272,236,MC-PW,CUSTOM ITEM BBB 2020,3.33739549,787.625,PW,Assembly/Bill of Materials
