,Internal ID,Item Name,UPC Code,Bin Number,Bin OnHand,Bin Available,Bin Location,Item Status,Average Cost,Average Cost Per Bin,Subsidiary,Item Type,Inactive
8940,27638,ML7324,817636018657,A20-C-228,3360.0,3360.0,MC-ONV,Current,1.04909217,3524.95,ONV,Assembly/Bill of Materials,No
11160,29263,ST0705Z,647658014166,A20-C-229,4.0,4.0,MC-PW,WEB/AMAZON ,4.9548,19.819000000000003,PW,Assembly/Bill of Materials,No
10546,33775,RBCD : 20106,,A20-C-229-02,78.0,78.0,MC-PW,CURRENT,1.17664878,91.779,PW,Inventory Item,No
11154,21964,ST0704,647658014159,A20-C-229-02,2.0,2.0,MC-PW,DISCONTINUED 12/20/2020,3.91206704,7.824,PW,Assembly/Bill of Materials,No
12231,15497,VSW0802CP,647658114842,A20-C-230,480.0,480.0,MC-PW,CUSTOM ORDER ITEM CPWM,3.21837859,1544.8220000000001,PW,Assembly/Bill of Materials,No
657,5752,CARTONS : 50336,,A20-C-231,60.0,60.0,MC-PW,Custom Order Item,0.45,27.0,PW,Inventory Item,No
4367,15505,GLCD : 25325,,A20-C-231-02,1000.0,1000.0,MC-PW,INACTIVE,0.21068,210.68,PW,Inventory Item,No
4917,34711,GLCD : 25940,,A20-C-232,552.0,552.0,MC-PW,PADDYWAX FALL 2020,1.30821712,722.1360000000001,PW,Inventory Item,No
4921,34868,GLCD : 25944,,A20-C-233,384.0,384.0,MC-PW,FIREFLY FALL 2020,2.20664628,847.352,PW,Inventory Item,No
10977,34091,SN0306Z,647658016924,A20-C-233-02,17.0,17.0,MC-PW,WEB/AMAZON ,2.73,46.41,PW,Assembly/Bill of Materials,No
1096,21056,CARTONS : 50852,,A20-C-234,1368.0,1368.0,MC-PW,CUSTOM ITEM FOR GROCERIES,0.11075701,151.516,PW,Inventory Item,No
9201,24143,NCP0301,647658016733,A20-C-235,84.0,84.0,MC-PW,Custom Order Item,1.8772619,157.69,PW,Assembly/Bill of Materials,No
11841,15099,TME1601,647658012735,A20-C-235-02,26.0,26.0,MC-PW,Discontinued Target Spring 2017,5.27192308,137.07,PW,Assembly/Bill of Materials,No
12274,33673,WA1201Z,647658020693,A20-C-236,80.0,80.0,MC-PW,WEB/AMAZON ,5.55043478,444.035,PW,Assembly/Bill of Materials,No
4655,25988,GLCD : 25724,,A20-C-237,96.0,96.0,MC-PW,INACTIVE,1.46260417,140.41,PW,Inventory Item,No
10157,18657,PN35-1002,812442027046,A20-C-237,12.0,12.0,MC-INK,Discontinued,0.98833333,11.86,INK,Inventory Item,No
2024,24611,CERAMIC : 36364,,A20-C-237-02,48.0,48.0,MC-PW,Discontinued,1.35729167,65.15,PW,Inventory Item,No
1252,25879,CARTONS : 50957,,A20-C-238,450.0,450.0,MC-PW,CUSTOM TARGET C3 SPRING 19,0.63,283.5,PW,Inventory Item,No
2360,29806,DCVS-1005,812442033276,A20-C-239,4.0,4.0,MC-INK,DISCONTINUED 1/2021,3.55,14.2,INK,Inventory Item,No
5079,4344,GLFD : 25073,,A20-C-239,240.0,240.0,MC-PW,INACTIVE,0.53754045,129.01,PW,Inventory Item,No
10943,13680,SJB963-1024A,812442021327,A20-C-239-02,96.0,96.0,MC-INK,INACTIVE,4.09192886,392.825,INK,Inventory Item,No
12640,34583,WPBC12008,647658026381,A20-C-240,132.0,132.0,MC-PW,FIREFLY FALL 2020,5.54886538,732.45,PW,Assembly/Bill of Materials,No
12290,28689,WA1204,647658020723,A20-C2-199,1.0,1.0,MC-PW,CURRENT,4.43752981,4.438,PW,Assembly/Bill of Materials,No
10231,6730,PR0803,647658001982,A20-C2-199,80.0,80.0,MC-PW,Discontinued,2.87025,229.62,PW,Assembly/Bill of Materials,No
9843,25935,NSN0301UB,647658019253,A20-C2-199-02,32.0,32.0,MC-PW,Custom Order Item,2.76638889,88.524,PW,Assembly/Bill of Materials,No
13555,34915,WPDSR1237,647658028972,A20-C2-201,1.0,1.0,MC-PW,FIREFLY SPRING 2021,4.31,4.31,PW,Assembly/Bill of Materials,No
13551,34911,WPDSR1233,647658028934,A20-C2-201-02,20.0,20.0,MC-PW,FIREFLY SPRING 2021,4.3035,86.07,PW,Assembly/Bill of Materials,No
5528,18544,JD80-2203,812442025677,A20-C2-201-02,20.0,20.0,MC-INK,Discontinued,2.85,57.0,INK,Inventory Item,No
4331,13661,GLCD : 25283,,A20-C2-203,36.0,36.0,MC-PW,Custom Order Item,0.48025794,17.289,PW,Inventory Item,No
13552,34912,WPDSR1234,647658028941,A20-C2-203,20.0,20.0,MC-PW,FIREFLY SPRING 2021,4.8515,97.03,PW,Assembly/Bill of Materials,No
409,31532,BDHW05,647658023847,A20-C2-203-02,9.0,9.0,MC-PW,CURRENT,2.2250491,20.025,PW,Assembly/Bill of Materials,No
13559,34919,WPDSR1241,647658029016,A20-C2-205,14.0,10.0,MC-PW,FIREFLY SPRING 2021,4.17285714,41.729,PW,Assembly/Bill of Materials,No
5510,16099,JD80-1096PG,817636017599,A20-C2-205,12.0,12.0,MC-ONV,Discontinued,2.23416667,26.81,ONV,Inventory Item,No
5610,16100,JDP80-1095PG,817636017605,A20-C2-205-02,12.0,12.0,MC-ONV,INACTIVE 8/20,2.91583333,34.99,ONV,Inventory Item,No
13542,34905,WPDSR1227,647658028873,A20-C2-205-02,1.0,1.0,MC-PW,FIREFLY SPRING 2021,4.71190476,4.712,PW,Assembly/Bill of Materials,No
13543,34905,WPDSR1227,647658028873,A20-C2-207,16.0,16.0,MC-PW,FIREFLY SPRING 2021,4.71190476,75.39,PW,Assembly/Bill of Materials,No
2285,13686,CONTAINER : 25192,,A20-C2-207,2652.0,2652.0,MC-ONV,INACTIVE,0.1,265.2,ONV,Inventory Item,No
1823,15537,CERAMIC : 36189,,A20-C2-207-02,36.0,36.0,MC-PW,DISCONTINUED 6/2020,0.77955556,28.064,PW,Inventory Item,No
3225,28775,FHT0307,647658020907,A20-C2-207-02,2.0,2.0,MC-PW,PADDYWAX FALL 2019,1.63733114,3.275,PW,Assembly/Bill of Materials,No
13689,36977,WPKS13003,647658033792,A20-C2-207-02,10.0,10.0,MC-PW,FIREFLY SPRING 2021,5.26388927,52.638999999999996,PW,Assembly/Bill of Materials,No
12085,7618,VF0801CB,647658006000,A20-C2-211,28.0,28.0,MC-PW,INACTIVE,3.31035714,92.69,PW,Assembly/Bill of Materials,No
5226,28655,HY1506,647658020983,A20-C2-211-02,13.0,13.0,MC-PW,DISCONTINUED 6/2020,4.68923077,60.96,PW,Assembly/Bill of Materials,No
1625,17674,CE1202BD,647658115672,A20-C2-213,4.0,4.0,MC-PW,INACTIVE,6.5325,26.13,PW,Assembly/Bill of Materials,No
4380,15591,GLCD : 25350,,A20-C2-213,380.0,380.0,MC-PW,INACTIVE,0.84223684,320.05,PW,Inventory Item,No
8491,35454,LP0903Z,647658022925,A20-C2-213-02,38.0,38.0,MC-PW,WEB/AMAZON ,6.73404448,255.894,PW,Assembly/Bill of Materials,No
2282,27687,CN1404Z,647658111957,A20-C2-213-02,6.0,6.0,MC-PW,WEB/AMAZON ,5.81788462,34.907,PW,Assembly/Bill of Materials,No
9934,6954,NT201BN,647658004723,A20-C2-215-02,36.0,36.0,MC-PW,INACTIVE,1.0,36.0,PW,Assembly/Bill of Materials,No
13547,34907,WPDSR1229,647658028897,A20-C2-215-02,15.0,15.0,MC-PW,FIREFLY SPRING 2021,5.06066667,75.91,PW,Assembly/Bill of Materials,No
2600,26437,DUSTCOVER : 16708D,,A20-C2-217,5200.0,5200.0,MC-PW,INACTIVE,0.05019808,261.03,PW,Inventory Item,No
2599,26436,DUSTCOVER : 16707D,,A20-C2-217,5200.0,5200.0,MC-PW,INACTIVE,0.05019808,261.03,PW,Inventory Item,No
13528,34892,WPDSR1214,647658028743,A20-C2-217-02,15.0,15.0,MC-PW,FIREFLY SPRING 2021,5.02933333,75.44,PW,Assembly/Bill of Materials,No
5342,18607,JB75-2154,812442026674,A20-C2-219,9.0,9.0,MC-INK,DISCONTINUED 12/2018,1.51,13.59,INK,Inventory Item,No
4146,18426,GL1613LT,647658118024,A20-C2-219,12.0,12.0,MC-PW,Custom Order Item,3.48166667,41.78,PW,Assembly/Bill of Materials,No
11962,14397,TVRD0805,647658011431,A20-C2-219-02,8.0,8.0,MC-PW,Discontinued Target,2.80625,22.45,PW,Assembly/Bill of Materials,No
12296,28690,WA1205,647658020730,A20-C2-219-02,6.0,6.0,MC-PW,CURRENT,3.68539043,22.112,PW,Assembly/Bill of Materials,No
12272,28705,WA0304,647658020778,A20-C2-221,6.0,6.0,MC-PW,CURRENT,2.77391304,16.643,PW,Assembly/Bill of Materials,No
5614,17516,JDP81-2191,812442025349,A20-C2-221,12.0,12.0,MC-INK,Discontinued,3.64,43.68,INK,Inventory Item,No
4436,16834,GLCD : 25409,,A20-C2-221-02,72.0,72.0,MC-PW,INACTIVE,1.06236111,76.49,PW,Inventory Item,No
12287,33671,WA1203Z,647658020716,A20-C2-223,3.0,3.0,MC-PW,WEB/AMAZON ,5.2655,15.797,PW,Assembly/Bill of Materials,No
12269,14839,VWHB0802SM,647658012346,A20-C2-223-02,24.0,24.0,MC-PW,INACTIVE,2.56708333,61.61,PW,Assembly/Bill of Materials,No
10230,6728,PR0801,647658001968,A20-C2-225,16.0,16.0,MC-PW,Discontinued,3.11,49.76,PW,Assembly/Bill of Materials,No
8545,18704,MB1002NO,647658003597,A20-C2-225,8.0,8.0,MC-PW,INACTIVE,4.35,34.8,PW,Assembly/Bill of Materials,No
11143,21958,ST0703,647658014142,A20-C2-227,2.0,2.0,MC-PW,DISCONTINUED 12/20/2020,4.13516807,8.27,PW,Assembly/Bill of Materials,No
12082,13480,VCB1217,647658008448,A20-C2-227,4.0,4.0,MC-PW,Custom Order Item,3.5375,14.15,PW,Assembly/Bill of Materials,No
2604,26440,DUSTCOVER : 16711D,,A20-C2-227-02,5200.0,5200.0,MC-PW,INACTIVE,0.06127308,318.62,PW,Inventory Item,No
2606,26443,DUSTCOVER : 16713D,,A20-C2-227-02,5200.0,5200.0,MC-PW,INACTIVE,0.06127308,318.62,PW,Inventory Item,No
5439,17493,JB863-2189,812442024991,A20-C2-227-02,8.0,8.0,MC-INK,Discontinued,2.74,21.92,INK,Inventory Item,No
8544,18701,MB1001NO,647658003580,A20-C2-229,8.0,8.0,MC-PW,INACTIVE,4.41,35.28,PW,Assembly/Bill of Materials,No
9845,26058,NSN0302ZUB,647658019260,A20-C2-229,1.0,1.0,MC-PW,Custom Order Item,4.44,4.44,PW,Assembly/Bill of Materials,No
8547,18703,MB1802NO,647658003627,A20-C2-229,16.0,16.0,MC-PW,INACTIVE,5.12,81.92,PW,Assembly/Bill of Materials,No
10127,21937,PK1105,647658014111,A20-C2-229-02,9.0,9.0,MC-PW,CURRENT,4.74141694,42.673,PW,Assembly/Bill of Materials,No
8554,36950,MG0305,647658032917,A20-C2-231,48.0,48.0,MC-PW,PADDYWAX SPRING 2021,1.19918955,57.56100000000001,PW,Inventory Item,No
8555,36951,MG0306,647658033563,A20-C2-231,48.0,48.0,MC-PW,PADDYWAX SPRING 2021,1.19940146,57.571000000000005,PW,Inventory Item,No
8556,36952,MG0307,647658033570,A20-C2-231,48.0,48.0,MC-PW,PADDYWAX SPRING 2021,1.19915161,57.559,PW,Inventory Item,No
11927,18421,TRL02LT,647658337005,A20-C2-231-02,6.0,6.0,MC-PW,Custom Order Item,1.58,9.48,PW,Assembly/Bill of Materials,No
12016,18418,UR1205LT,647658006550,A20-C2-233,40.0,40.0,MC-PW,INACTIVE,3.2425,129.7,PW,Assembly/Bill of Materials,No
8552,36948,MG0303,647658032894,A20-C2-233-02,48.0,48.0,MC-PW,PADDYWAX SPRING 2021,1.19934783,57.568999999999996,PW,Inventory Item,No
8551,36947,MG0302,647658032887,A20-C2-233-02,48.0,48.0,MC-PW,PADDYWAX SPRING 2021,1.19917342,57.56,PW,Inventory Item,No
8550,36946,MG0301,647658032870,A20-C2-233-02,48.0,48.0,MC-PW,PADDYWAX SPRING 2021,1.19916259,57.56,PW,Inventory Item,No
99,16568,80003,,A20-C2-235,1000.0,1000.0,MC-ONV,INACTIVE,0.11129125,111.291,ONV,Assembly/Bill of Materials,No
8473,35451,LP0901Z,647658022901,A20-C2-235-02,12.0,12.0,MC-PW,WEB/AMAZON ,6.623239999999999,79.479,PW,Assembly/Bill of Materials,No
2605,26442,DUSTCOVER : 16712D,,A20-C2-237,2200.0,2200.0,MC-PW,INACTIVE,0.06127273,134.8,PW,Inventory Item,No
2607,26444,DUSTCOVER : 16714D,,A20-C2-237,5200.0,5200.0,MC-PW,INACTIVE,0.06126923,318.6,PW,Inventory Item,No
2602,26439,DUSTCOVER : 16710D,,A20-C2-237,5200.0,5200.0,MC-PW,INACTIVE,0.06127308,318.62,PW,Inventory Item,No
2608,26445,DUSTCOVER : 16715D,,A20-C2-237-02,5200.0,5200.0,MC-PW,INACTIVE,0.06127308,318.62,PW,Inventory Item,No
2613,26448,DUSTCOVER : 16718D,,A20-C2-237-02,2200.0,2200.0,MC-PW,INACTIVE,0.07234545,159.16,PW,Inventory Item,No
5460,12224,JB963-1024CA,812442020238,A20-C2-239,107.0,107.0,MC-INK,Discontinued,3.83149533,409.97,INK,Inventory Item,No
2351,29803,DCVS-1002,812442033245,A20-C2-239-02,2.0,2.0,MC-INK,DISCONTINUED 1/2021,3.55,7.1,INK,Inventory Item,No
11569,18565,TJBM86-1001PG,812442026339,A20-D-001,1236.0,1236.0,MC-INK,INACTIVE 8/20,2.39070329,2954.909,INK,Inventory Item,No
11505,36200,TJB75-100PG,840111507582,A20-D-002,1680.0,1680.0,MC-INK,CURRENT,1.02974195,1729.9660000000001,INK,Inventory Item,No
11506,36200,TJB75-100PG,840111507582,A20-D-003,1680.0,1680.0,MC-INK,CURRENT,1.02974195,1729.9660000000001,INK,Inventory Item,No
11507,36200,TJB75-100PG,840111507582,A20-D-004,1680.0,1680.0,MC-INK,CURRENT,1.02974195,1729.9660000000001,INK,Inventory Item,No
11508,36200,TJB75-100PG,840111507582,A20-D-006,1680.0,1680.0,MC-INK,CURRENT,1.02974195,1729.9660000000001,INK,Inventory Item,No
11509,36200,TJB75-100PG,840111507582,A20-D-008,1680.0,1680.0,MC-INK,CURRENT,1.02974195,1729.9660000000001,INK,Inventory Item,No
11543,26281,TJB863-2019PG,812442027923,A20-D-009,1620.0,1620.0,MC-INK,Pending,2.47321177,4006.603,INK,Inventory Item,No
11510,36200,TJB75-100PG,840111507582,A20-D-010,1680.0,1680.0,MC-INK,CURRENT,1.02974195,1729.9660000000001,INK,Inventory Item,No
11511,36200,TJB75-100PG,840111507582,A20-D-012,1680.0,1680.0,MC-INK,CURRENT,1.02974195,1729.9660000000001,INK,Inventory Item,No
11512,36200,TJB75-100PG,840111507582,A20-D-014,1680.0,1680.0,MC-INK,CURRENT,1.02974195,1729.9660000000001,INK,Inventory Item,No
11544,26281,TJB863-2019PG,812442027923,A20-D-015,1260.0,1260.0,MC-INK,Pending,2.47321177,3116.2470000000003,INK,Inventory Item,No
11513,36200,TJB75-100PG,840111507582,A20-D-016,1680.0,1680.0,MC-INK,CURRENT,1.02974195,1729.9660000000001,INK,Inventory Item,No
11514,36200,TJB75-100PG,840111507582,A20-D-018,1680.0,1680.0,MC-INK,CURRENT,1.02974195,1729.9660000000001,INK,Inventory Item,No
11515,36200,TJB75-100PG,840111507582,A20-D-020,1680.0,1680.0,MC-INK,CURRENT,1.02974195,1729.9660000000001,INK,Inventory Item,No
11849,29618,TMW85-1001PG,812442032347,A20-D-021,1440.0,1440.0,MC-INK,INACTIVE WALMART 2020 OUT OF DATE,2.0670764,2976.59,INK,Inventory Item,No
11658,26291,TJD80P-1096PG,812442026292,A20-D-022,720.0,720.0,MC-INK,INACTIVE 8/20,2.78893319,2008.0320000000002,INK,Inventory Item,No
11716,36193,TJDB80-2020PG,840111507896,A20-D-024,900.0,900.0,MC-INK,CURRENT,2.79435947,2514.924,INK,Inventory Item,No
11588,36196,TJBM86-2020PG,840111507919,A20-D-025,1260.0,1260.0,MC-INK,CURRENT,2.52242083,3178.25,INK,Inventory Item,No
11570,18565,TJBM86-1001PG,812442026339,A20-D-026,1200.0,1200.0,MC-INK,INACTIVE 8/20,2.39070329,2868.844,INK,Inventory Item,No
11659,26291,TJD80P-1096PG,812442026292,A20-D-027,720.0,720.0,MC-INK,INACTIVE 8/20,2.78893319,2008.0320000000002,INK,Inventory Item,No
11660,26291,TJD80P-1096PG,812442026292,A20-D-028,720.0,720.0,MC-INK,INACTIVE 8/20,2.78893319,2008.0320000000002,INK,Inventory Item,No
11850,29618,TMW85-1001PG,812442032347,A20-D-030,720.0,720.0,MC-INK,INACTIVE WALMART 2020 OUT OF DATE,2.0670764,1488.295,INK,Inventory Item,No
11589,36196,TJBM86-2020PG,840111507919,A20-D-031,1320.0,1320.0,MC-INK,CURRENT,2.52242083,3329.595,INK,Inventory Item,No
11661,26291,TJD80P-1096PG,812442026292,A20-D-032,720.0,720.0,MC-INK,INACTIVE 8/20,2.78893319,2008.0320000000002,INK,Inventory Item,No
11851,29618,TMW85-1001PG,812442032347,A20-D-033,1440.0,1440.0,MC-INK,INACTIVE WALMART 2020 OUT OF DATE,2.0670764,2976.59,INK,Inventory Item,No
11571,18565,TJBM86-1001PG,812442026339,A20-D-034,1260.0,1260.0,MC-INK,INACTIVE 8/20,2.39070329,3012.2859999999996,INK,Inventory Item,No
11662,26291,TJD80P-1096PG,812442026292,A20-D-035,720.0,720.0,MC-INK,INACTIVE 8/20,2.78893319,2008.0320000000002,INK,Inventory Item,No
11590,36196,TJBM86-2020PG,840111507919,A20-D-036,1260.0,1260.0,MC-INK,CURRENT,2.52242083,3178.25,INK,Inventory Item,No
11852,29618,TMW85-1001PG,812442032347,A20-D-037,1440.0,1440.0,MC-INK,INACTIVE WALMART 2020 OUT OF DATE,2.0670764,2976.59,INK,Inventory Item,No
11663,26291,TJD80P-1096PG,812442026292,A20-D-038,378.0,378.0,MC-INK,INACTIVE 8/20,2.78893319,1054.2169999999999,INK,Inventory Item,No
11591,36196,TJBM86-2020PG,840111507919,A20-D-041,1260.0,1260.0,MC-INK,CURRENT,2.52242083,3178.25,INK,Inventory Item,No
11572,18565,TJBM86-1001PG,812442026339,A20-D-042,1080.0,1080.0,MC-INK,INACTIVE 8/20,2.39070329,2581.96,INK,Inventory Item,No
11573,18565,TJBM86-1001PG,812442026339,A20-D-044,1080.0,1080.0,MC-INK,INACTIVE 8/20,2.39070329,2581.96,INK,Inventory Item,No
11853,29618,TMW85-1001PG,812442032347,A20-D-045,1440.0,1440.0,MC-INK,INACTIVE WALMART 2020 OUT OF DATE,2.0670764,2976.59,INK,Inventory Item,No
11574,18565,TJBM86-1001PG,812442026339,A20-D-046,1080.0,1080.0,MC-INK,INACTIVE 8/20,2.39070329,2581.96,INK,Inventory Item,No
11592,36196,TJBM86-2020PG,840111507919,A20-D-047,1260.0,1260.0,MC-INK,CURRENT,2.52242083,3178.25,INK,Inventory Item,No
11717,36193,TJDB80-2020PG,840111507896,A20-D-048,900.0,900.0,MC-INK,CURRENT,2.79435947,2514.924,INK,Inventory Item,No
11854,29618,TMW85-1001PG,812442032347,A20-D-049,1440.0,1440.0,MC-INK,INACTIVE WALMART 2020 OUT OF DATE,2.0670764,2976.59,INK,Inventory Item,No
11575,18565,TJBM86-1001PG,812442026339,A20-D-050,1080.0,1080.0,MC-INK,INACTIVE 8/20,2.39070329,2581.96,INK,Inventory Item,No
11576,18565,TJBM86-1001PG,812442026339,A20-D-051,498.0,498.0,MC-INK,INACTIVE 8/20,2.39070329,1190.57,INK,Inventory Item,No
11621,37717,TJD80P-1096,840111510124,A20-D-054,576.0,576.0,MC-INK,Current,,,INK,Inventory Item,No
11787,36197,TJM892-1003PG,840111507636,A20-D-055,1050.0,1050.0,MC-INK,CURRENT,2.38438426,2503.603,INK,Inventory Item,No
11622,37717,TJD80P-1096,840111510124,A20-D-056,720.0,720.0,MC-INK,Current,,,INK,Inventory Item,No
11855,29618,TMW85-1001PG,812442032347,A20-D-057,1440.0,1440.0,MC-INK,INACTIVE WALMART 2020 OUT OF DATE,2.0670764,2976.59,INK,Inventory Item,No
11788,36197,TJM892-1003PG,840111507636,A20-D-058,372.0,372.0,MC-INK,CURRENT,2.38438426,886.9910000000001,INK,Inventory Item,No
5436,13797,JB863-2018,812442021686,A20-D-061,564.0,564.0,MC-INK,Discontinued,2.31588652,1306.16,INK,Inventory Item,No
10539,33738,RBCD : 20105,,A20-D-062,624.0,624.0,MC-PW,CURRENT,1.13292767,706.947,PW,Inventory Item,No
10540,33738,RBCD : 20105,,A20-D-063,624.0,624.0,MC-PW,CURRENT,1.13292767,706.947,PW,Inventory Item,No
10541,33738,RBCD : 20105,,A20-D-064,624.0,624.0,MC-PW,CURRENT,1.13292767,706.947,PW,Inventory Item,No
10542,33738,RBCD : 20105,,A20-D-065,624.0,624.0,MC-PW,CURRENT,1.13292767,706.947,PW,Inventory Item,No
4601,24195,GLCD : 25623,,A20-D-066,1584.0,1584.0,MC-PW,PADDYWAX SPRING 2019,1.71634093,2718.684,PW,Inventory Item,No
11623,37717,TJD80P-1096,840111510124,A20-D-069,720.0,720.0,MC-INK,Current,,,INK,Inventory Item,No
11789,36197,TJM892-1003PG,840111507636,A20-D-070,1050.0,1050.0,MC-INK,CURRENT,2.38438426,2503.603,INK,Inventory Item,No
11970,29620,TWFO-1002PG,812442032378,A20-D-071,145.0,145.0,MC-INK,INACTIVE 8/20,2.331,337.995,INK,Inventory Item,No
1098,21966,CARTONS : 50854,,A20-D-076,135.0,135.0,MC-PW,PADDYWAX FALL 2018,0.75191355,101.508,PW,Inventory Item,No
11790,36197,TJM892-1003PG,840111507636,A20-D-078,816.0,816.0,MC-INK,CURRENT,2.38438426,1945.658,INK,Inventory Item,No
11664,26291,TJD80P-1096PG,812442026292,A20-D-079,216.0,216.0,MC-INK,INACTIVE 8/20,2.78893319,602.41,INK,Inventory Item,No
11693,26290,TJD80P-2189PG,812442026315,A20-D-082,864.0,864.0,MC-INK,INACTIVE 8/20,3.3892792999999997,2928.337,INK,Inventory Item,No
11751,26292,TJDP80P-2063PG,812442026308,A20-D-084,720.0,720.0,MC-INK,INACTIVE 8/20,3.3426919,2406.738,INK,Inventory Item,No
11752,26292,TJDP80P-2063PG,812442026308,A20-D-086,720.0,720.0,MC-INK,INACTIVE 8/20,3.3426919,2406.738,INK,Inventory Item,No
11753,26292,TJDP80P-2063PG,812442026308,A20-D-088,720.0,720.0,MC-INK,INACTIVE 8/20,3.3426919,2406.738,INK,Inventory Item,No
11545,26281,TJB863-2019PG,812442027923,A20-D-090,1440.0,1440.0,MC-INK,Pending,2.47321177,3561.425,INK,Inventory Item,No
11546,26281,TJB863-2019PG,812442027923,A20-D-092,1440.0,1440.0,MC-INK,Pending,2.47321177,3561.425,INK,Inventory Item,No
83,37586,51212,,A20-D-093,1.0,1.0,MC-PW,PADDYWAX SPRING 2021,50.87,50.87,PW,Assembly/Bill of Materials,No
11754,26292,TJDP80P-2063PG,812442026308,A20-D-094,840.0,840.0,MC-INK,INACTIVE 8/20,3.3426919,2807.861,INK,Inventory Item,No
11791,36197,TJM892-1003PG,840111507636,A20-D-095,846.0,846.0,MC-INK,CURRENT,2.38438426,2017.1889999999999,INK,Inventory Item,No
11694,26290,TJD80P-2189PG,812442026315,A20-D-096,720.0,720.0,MC-INK,INACTIVE 8/20,3.3892792999999997,2440.281,INK,Inventory Item,No
2296,15947,CONTAINER : 36042,,A20-D-097,8000.0,8000.0,MC-ONV,Current,0.34,2720.0,ONV,Inventory Item,No
11695,26290,TJD80P-2189PG,812442026315,A20-D-098,720.0,720.0,MC-INK,INACTIVE 8/20,3.3892792999999997,2440.281,INK,Inventory Item,No
11769,36148,TJL68-100PG,840111507629,A20-D-099,28.0,28.0,MC-INK,CURRENT,2.32744485,65.168,INK,Inventory Item,No
11528,36147,TJB75-101PG,840111507599,A20-D-099,2160.0,2160.0,MC-INK,CURRENT,1.33194332,2876.998,INK,Inventory Item,No
11529,36147,TJB75-101PG,840111507599,A20-D-101,2160.0,2160.0,MC-INK,CURRENT,1.33194332,2876.998,INK,Inventory Item,No
11696,26290,TJD80P-2189PG,812442026315,A20-D-102,942.0,942.0,MC-INK,INACTIVE 8/20,3.3892792999999997,3192.7009999999996,INK,Inventory Item,No
3201,33424,FH0806Z,647658020815,A20-D-103,91.0,91.0,MC-PW,WEB/AMAZON ,4.92645985,448.30800000000005,PW,Assembly/Bill of Materials,No
9376,37554,NFD0812,647658034485,A20-D-104,376.0,376.0,MC-PW,CUSTOM ITEM MEIJER,3.23430249,1216.098,PW,Assembly/Bill of Materials,No
9760,6800,NLP1202,647658003115,A20-D-105,260.0,260.0,MC-PW,PLAN-A-GRAM,3.99451146,1038.573,PW,Assembly/Bill of Materials,No
10486,32827,RBCD : 20100,,A20-D-106,540.0,540.0,MC-PW,CURRENT,0.54786933,295.849,PW,Inventory Item,No
8444,35786,LL1302Z,647658025315,A20-D-107,237.0,237.0,MC-PW,WEB/AMAZON ,5.61134804,1329.889,PW,Assembly/Bill of Materials,No
2221,35441,CFH0802Z,647658025223,A20-D-108,240.0,240.0,MC-PW,WEB/AMAZON ,4.63281469,1111.876,PW,Assembly/Bill of Materials,No
10590,3373,RBFD : 20029,,A20-D-109,540.0,540.0,MC-PW,DISCONTINUED 6/2020,1.82939739,987.875,PW,Inventory Item,No
8804,36372,ML5436,817636019371,A20-D-110,640.0,640.0,MC-ONV,CURRENT,1.79340987,1147.782,ONV,Inventory Item,No
9482,31300,NFD1505,647658024325,A20-D-111,336.0,336.0,MC-PW,CUSTOM ITEM MEIJER,4.28915915,1441.1570000000002,PW,Assembly/Bill of Materials,No
9465,31297,NFD1503,647658024301,A20-D-112,72.0,72.0,MC-PW,CUSTOM ITEM MEIJER,4.28377319,308.432,PW,Assembly/Bill of Materials,No
11779,37714,TJM892-1002,840111510278,A20-D-113,960.0,960.0,MC-INK,CURRENT,2.32621901,2233.17,INK,Inventory Item,No
101,20089,80012,,A20-D-115,316.0,316.0,MC-ONV,Current,4.90279507,1549.283,ONV,Assembly/Bill of Materials,No
10952,13679,SJD80-1019C,812442021310,A20-D-116,816.0,816.0,MC-INK,INACTIVE,2.79656349,2281.996,INK,Inventory Item,No
4212,4454,GLCD : 25082,,A20-D-117,288.0,288.0,MC-PW,Current,0.64773005,186.546,PW,Inventory Item,No
8801,36389,ML5435,817636019395,A20-D-118,3136.0,3136.0,MC-ONV,CURRENT,1.8071085999999998,5667.093000000001,ONV,Inventory Item,No
13666,36961,WPKS04002,647658033730,A20-D-119,640.0,640.0,MC-PW,FIREFLY SPRING 2021,3.3180936,2123.58,PW,Assembly/Bill of Materials,No
4311,13510,GLCD : 25274,,A20-D-120,768.0,768.0,MC-PW,DISCONTINUED 1/2020,1.03837676,797.4730000000001,PW,Inventory Item,No
1791,15104,CERAMIC : 36167,,A20-D-121,1104.0,1104.0,MC-PW,Discontinued Target Spring 2017,1.12328132,1240.103,PW,Inventory Item,No
4312,13510,GLCD : 25274,,A20-D-122,768.0,768.0,MC-PW,DISCONTINUED 1/2020,1.03837676,797.4730000000001,PW,Inventory Item,No
10842,7477,RJFD09Z,647658388090,A20-D-123,126.0,126.0,MC-PW,WEB/AMAZON DISCONTINUED,6.00728571,756.918,PW,Assembly/Bill of Materials,No
4313,13510,GLCD : 25274,,A20-D-124,768.0,768.0,MC-PW,DISCONTINUED 1/2020,1.03837676,797.4730000000001,PW,Inventory Item,No
11392,14107,TINS : 30186,,A20-D-125,912.0,912.0,MC-PW,Current,3.0340871,2767.087,PW,Inventory Item,No
